post,account,date,year,n_char,n_words
p_morenadiaz_040819.txt,p_morenadiaz,040819,19,1133,192
p_holly_nimmt_ab_290722.txt,p_holly_nimmt_ab,290722,22,799,121
p_hannahmaylou_230121.txt,p_hannahmaylou,230121,21,657,106
p_sincerelyjaane_110820.txt,p_sincerelyjaane,110820,20,1708,243
p_anipunkt_200421.txt,p_anipunkt,200421,21,903,146
p_morenadiaz_060920.txt,p_morenadiaz,060920,20,387,62
p_angeliquelini_060321.txt,p_angeliquelini,060321,21,398,62
p_morenadiaz_150822.txt,p_morenadiaz,150822,22,753,123
p_dr_med_mareike_awe_150421.txt,p_dr_med_mareike_awe,150421,21,1175,169
p_mirjanazuber_011120.txt,p_mirjanazuber,011120,20,92,14
p_pippspiration_041120.txt,p_pippspiration,041120,20,380,49
p_endlich_zufrieden_100522.txt,p_endlich_zufrieden,100522,22,1386,213
p_hej_hejdi_071220.txt,p_hej_hejdi,071220,20,185,8
p_marenkissing_180820.txt,p_marenkissing,180820,20,2191,339
p_luluandherselflove_051221.txt,p_luluandherselflove,051221,21,619,65
p_noch_so_eine_die_abnimmt_101121.txt,p_noch_so_eine_die_abnimmt,101121,21,1044,138
p_anastasia_klassen_230822.txt,p_anastasia_klassen,230822,22,195,29
p_orchidea_luna_150322.txt,p_orchidea_luna,150322,22,801,118
p_luluandherselflove_110122.txt,p_luluandherselflove,110122,22,881,138
p_anjazeidler_100720.txt,p_anjazeidler,100720,20,1721,241
p_dr_med_mareike_awe_160722.txt,p_dr_med_mareike_awe,160722,22,1012,158
p_charlotte_weise_101220.txt,p_charlotte_weise,101220,20,287,41
p_marenkissing_200121.txt,p_marenkissing,200121,21,611,84
p_jesswayoflife_031120.txt,p_jesswayoflife,031120,20,1212,167
p_anjazeidler_260520.txt,p_anjazeidler,260520,20,185,26
p_rebeccachelbea_040722.txt,p_rebeccachelbea,040722,22,226,16
p_angeliquelini_210121.txt,p_angeliquelini,210121,21,1457,239
p_milenka_emilia_160622.txt,p_milenka_emilia,160622,22,756,98
p_milenka_emilia_060622.txt,p_milenka_emilia,060622,22,607,80
p_dr_med_mareike_awe_040421.txt,p_dr_med_mareike_awe,040421,21,1129,150
p_pippspiration_201220.txt,p_pippspiration,201220,20,822,132
p_milenka_emilia_050722.txt,p_milenka_emilia,050722,22,876,129
p_sandra1977sandra_290520.txt,p_sandra1977sandra,290520,20,326,29
p_silvicarlsson_130120.txt,p_silvicarlsson,130120,20,68,6
p_sinem_coaching_250722.txt,p_sinem_coaching,250722,22,1305,171
p_luluandherselflove_211121.txt,p_luluandherselflove,211121,21,1528,231
p_random_mentalist_271120.txt,p_random_mentalist,271120,20,1989,319
p_dr_med_mareike_awe_300321.txt,p_dr_med_mareike_awe,300321,21,851,118
p_milenka_emilia_210421_2.txt,p_milenka_emilia_2,0421_2,_2,1646,249
p_dr_med_mareike_awe_200321.txt,p_dr_med_mareike_awe,200321,21,1336,204
p_luluandherselflove_041220.txt,p_luluandherselflove,041220,20,73,17
p_curvesarewonderful_130321.txt,p_curvesarewonderful,130321,21,1742,270
p_its_me_debbie_010922.txt,p_its_me_debbie,010922,22,501,46
p_random_mentalist_181120.txt,p_random_mentalist,181120,20,1714,258
p_luluandherselflove_080722.txt,p_luluandherselflove,080722,22,1208,191
p_marenkissing_260820.txt,p_marenkissing,260820,20,596,90
p_endlich_zufrieden_211120.txt,p_endlich_zufrieden,211120,20,368,43
p_talisaminoush_240522.txt,p_talisaminoush,240522,22,1025,164
p_marenkissing_091120.txt,p_marenkissing,091120,20,994,147
p_dr_med_mareike_awe_070722.txt,p_dr_med_mareike_awe,070722,22,1070,166
p_milenka_emilia_200421.txt,p_milenka_emilia,200421,21,1598,239
p_sandra1977sandra_200520.txt,p_sandra1977sandra,200520,20,360,27
p_marenkissing_210321.txt,p_marenkissing,210321,21,626,85
p_anjazeidler_270522.txt,p_anjazeidler,270522,22,1176,182
p_orchidea_luna_050721.txt,p_orchidea_luna,050721,21,344,36
p_corinna_fee_071220.txt,p_corinna_fee,071220,20,508,75
p_its_me_debbie_240822.txt,p_its_me_debbie,240822,22,546,53
p_random_mentalist_140622.txt,p_random_mentalist,140622,22,1757,270
p_ms_wunderbar_070221.txt,p_ms_wunderbar,070221,21,153,19
p_talisaminoush_080421.txt,p_talisaminoush,080421,21,920,127
p_endlich_zufrieden_080522.txt,p_endlich_zufrieden,080522,22,316,49
p_anjazeidler_070820.txt,p_anjazeidler,070820,20,1055,149
p_rebeccachelbea_280422.txt,p_rebeccachelbea,280422,22,117,10
p_taliasminoush_081020.txt,p_taliasminoush,081020,20,165,20
p_jesswayoflife_020822.txt,p_jesswayoflife,020822,22,415,60
p_holly_nimmt_ab_180822.txt,p_holly_nimmt_ab,180822,22,734,104
p_silviajauch_191120b.txt,p_silviajauch_,91120b,0b,1180,162
p_marenkissing_150421.txt,p_marenkissing,150421,21,815,123
p_marenkissing_050421.txt,p_marenkissing,050421,21,329,41
p_endlich_zufrieden_221221.txt,p_endlich_zufrieden,221221,21,517,73
p_ninabotzen_031220.txt,p_ninabotzen,031220,20,1367,225
p_maikenlhf_071220.txt,p_maikenlhf,071220,20,604,80
p_rebeccachelbea_070422.txt,p_rebeccachelbea,070422,22,624,82
p_sarahuvm_211120.txt,p_sarahuvm,211120,20,878,121
p_milenka_emilia_200622.txt,p_milenka_emilia,200622,22,1171,174
p_mutausbrueche230820.txt,p_mutausbruech,230820,20,813,128
p_dr_med_mareike_awe_290622.txt,p_dr_med_mareike_awe,290622,22,385,55
p_marenkissing_080920.txt,p_marenkissing,080920,20,636,101
p_luluandherselflove_201021.txt,p_luluandherselflove,201021,21,1066,159
p_random_mentalist_251120.txt,p_random_mentalist,251120,20,1366,214
p_nathaliemoves_81120.txt,p_nathaliemove,_81120,20,933,120
p_ms_wunderbar_040421.txt,p_ms_wunderbar,040421,21,212,30
p_rebeccachelbea_160722.txt,p_rebeccachelbea,160722,22,395,66
p_anipunkt_150421.txt,p_anipunkt,150421,21,998,163
p_mutausbrueche_310720.txt,p_mutausbrueche,310720,20,1106,166
p_sarahuvm_030521.txt,p_sarahuvm,030521,21,412,55
p_jenny_lambrecht_240120.txt,p_jenny_lambrecht,240120,20,632,93
p_orchidea_luna_290121.txt,p_orchidea_luna,290121,21,851,131
p_luluandherselflove_200921.txt,p_luluandherselflove,200921,21,1094,153
p_luluandherselflove_230821.txt,p_luluandherselflove,230821,21,1026,175
p_its_me_debbie_100822.txt,p_its_me_debbie,100822,22,484,43
